geo	F	M	T	F/M	F-M
ITF6	84.3	79.1	81.7	1.0657395702	5.2
ITG1	83.4	78.5	81.1	1.0624203822	4.9
ITG2	84.8	79	81.9	1.0734177215	5.8
LI00	83.6	79.5	81.7	1.051572327	4.1
LT00	78.7	67.5	73.2	1.1659259259	11.2
LU00	83.3	78.1	80.8	1.066581306	5.2
LV00	78	68.1	73.3	1.1453744493	9.9
MK00	76.7	72.3	74.4	1.060857538	4.4
MT00	82.7	77.9	80.3	1.0616174583	4.8
NL11	82	78.2	80.1	1.0485933504	3.8
NL12	83.1	78.4	80.8	1.0599489796	4.7
NL13	83	78.5	80.8	1.0573248408	4.5
NL21	82.8	78	80.5	1.0615384615	4.8
NL22	82.8	78.5	80.8	1.0547770701	4.3
NL23	83.3	78.7	81	1.0584498094	4.6
NL31	83.3	79.3	81.5	1.0504413619	4
NL32	83	78.9	81	1.051964512	4.1
NL33	82.7	78.8	80.9	1.0494923858	3.9
NL34	84	79.4	81.8	1.0579345088	4.6
NL41	83	78.6	80.8	1.0559796438	4.4
NL42	82.6	78.4	80.6	1.0535714286	4.2
NO01	83.1	79.3	81.3	1.0479192938	3.8
NO02	82.5	77.6	80.1	1.0631443299	4.9
NO03	82.6	77.9	80.3	1.0603337612	4.7
NO04	83.6	78.8	81.2	1.0609137056	4.8
NO05	84.6	79.3	82	1.0668348045	5.3
NO06	83.2	79.3	81.3	1.0491803279	3.9
NO07	82.9	78.4	80.7	1.0573979592	4.5
PL11	78.9	69.3	74.1	1.1385281385	9.6
PL12	80.5	71.9	76.2	1.1196105702	8.6
PL21	81.3	73.2	77.2	1.1106557377	8.1
PL22	79.3	71.1	75.2	1.1153305204	8.2
PL31	80.5	70.8	75.6	1.1370056497	9.7
PL32	81.3	73.2	77.2	1.1106557377	8.1
PL33	81.1	71.7	76.3	1.1311018131	9.4
PL34	81.5	71.8	76.6	1.135097493	9.7
PL41	79.9	72	76	1.1097222222	7.9
PL42	79.9	71	75.4	1.1253521127	8.9
PL43	79.5	70.7	75.2	1.1244695898	8.8
PL51	79.5	70.9	75.3	1.1212976023	8.6
PL52	81	72.8	76.9	1.1126373626	8.2
PL61	79.5	71.3	75.4	1.1150070126	8.2
PL62	80	70.7	75.3	1.1315417256	9.3
PL63	80.4	72.5	76.5	1.1089655172	7.9
PT11	82.9	77.1	80.1	1.075226978	5.8
PT15	82.2	76.2	79.1	1.0787401575	6
PT16	83.1	77.2	80.2	1.0764248705	5.9
PT17	82.5	76.4	79.6	1.0798429319	6.1
PT18	81.9	75.5	78.7	1.0847682119	6.4
PT20	79.5	71.6	75.4	1.1103351955	7.9
PT30	78.9	71.1	75.2	1.1097046414	7.8
RO11	76.6	69.4	73	1.1037463977	7.2
RO12	77.5	70.1	73.7	1.1055634807	7.4
RO21	77.4	69.7	73.4	1.1104734577	7.7
RO22	77.4	69.1	73.1	1.1201157742	8.3
RO31	77.1	69.2	73.1	1.1141618497	7.9
RO32	78.5	71.4	75.1	1.0994397759	7.1
RO41	76.8	69.6	73.1	1.1034482759	7.2
RO42	76.5	69.6	73.1	1.099137931	6.9
SE11	84.2	79.9	82.1	1.0538172716	4.3
SE12	83.2	79.2	81.2	1.0505050505	4
SE21	83.9	79.8	81.8	1.0513784461	4.1
SE22	83.5	79.7	81.7	1.0476787955	3.8
SE23	83.7	79.6	81.7	1.0515075377	4.1
SE31	82.6	78.6	80.6	1.0508905852	4
SE32	82.8	78.4	80.6	1.056122449	4.4
SE33	83.2	79	81.1	1.053164557	4.2
SI01	82	74.7	78.4	1.0977242303	7.3
SI02	83.5	77.3	80.5	1.0802069858	6.2
SK01	80.2	73.7	77.1	1.0881953867	6.5
SK02	79.2	71.5	75.4	1.1076923077	7.7
SK03	79	70.6	74.8	1.11898017	8.4
SK04	78.8	71.1	75	1.1082981716	7.7
UKC1	80.6	76.5	78.6	1.0535947712	4.1
UKC2	80.8	76.6	78.7	1.0548302872	4.2
UKD1	81.6	77.8	79.8	1.0488431877	3.8
UKD2	81.6	78.3	80	1.0421455939	3.3
UKD3	80.4	76	78.2	1.0578947368	4.4
UKD4	80.8	76.4	78.6	1.057591623	4.4
UKD5	80	76	78.1	1.0526315789	4
UKE1	81.7	76.8	79.3	1.0638020833	4.9
UKE2	83.1	79.5	81.3	1.0452830189	3.6
UKE3	80.9	76.9	79	1.0520156047	4
UKE4	81.1	76.7	78.9	1.0573663625	4.4
UKF1	81.6	77.8	79.7	1.0488431877	3.8
UKF2	82.3	78.3	80.3	1.0510855683	4
UKF3	81.8	78.2	80	1.0460358056	3.6
UKG1	82.8	78.7	80.8	1.0520965693	4.1
UKG2	81.6	77.7	79.7	1.0501930502	3.9
UKG3	81.2	76.5	78.9	1.0614379085	4.7
UKH1	83.1	79.3	81.2	1.0479192938	3.8
UKH2	82.4	79	80.8	1.0430379747	3.4
UKH3	82.7	79	81	1.046835443	3.7
UKI1	82.6	77.5	80.1	1.0658064516	5.1
UKI2	83.1	79.1	81.2	1.0505689001	4
UKJ1	83.4	79.5	81.5	1.0490566038	3.9
UKJ2	83.5	79.8	81.7	1.0463659148	3.7
UKJ3	83.2	79.6	81.5	1.0452261307	3.6
UKJ4	82.5	78.8	80.7	1.0469543147	3.7
UKK1	83	79	81.1	1.0506329114	4
UKK2	83.5	79.3	81.4	1.05296343	4.2
UKK3	82.8	78.9	80.9	1.0494296578	3.9
UKK4	83.1	79.3	81.3	1.0479192938	3.8
UKL1	81.1	76.9	79	1.0546163849	4.2
UKL2	82.3	77.9	80.2	1.0564826701	4.4
UKM2	80.7	76.4	78.6	1.0562827225	4.3
UKM3	79.1	74	76.6	1.0689189189	5.1
UKM5	79.3	75.1	77.2	1.0559254328	4.2
UKM6	82.9	78	80.5	1.0628205128	4.9
UKN0	81.3	76.7	79	1.0599739244	4.6
